Ref,Station,System,Received,Date,Station ID,Booth,Description,Notes
04001010,City Hall,IRT,8/5/04,8/27/93,,Closed,N/B City Hall,
04001011,Wall Street,IRT,8/5/04,10/23/98,413,R203,N/B Rector St,
04001011,Wall Street,IRT,8/5/04,10/23/98,413,R204,S/B Rector St,
04001011,Wall Street,IRT,8/5/04,10/23/98,413,R203A,N/B Pine St,
04001011,Wall Street,IRT,8/5/04,10/23/98,413,R204A,S/B Pine St,
04001012,Bleecker Street,IRT,8/5/04,11/3/98,408,R217,N/B Bleecker St,
04001012,Bleecker Street,IRT,8/5/04,11/3/98,408,X,S/B Bleecker St,
04001012,Bleecker Street,IRT,8/5/04,11/3/98,408,N519A,S/B Houston,
04001013,Astor Place,IRT,8/5/04,10/3/98,407,R219,N/B Astor Place,
04001013,Astor Place,IRT,8/5/04,10/3/98,407,R220,S/B 8th St,
04001014,33rd Street,IRT,8/5/04,1/27/99,403,R231,N/B 33rd St,
04001014,33rd Street,IRT,8/5/04,1/27/99,403,R231A,N/B 32nd St,
04001014,33rd Street,IRT,8/5/04,1/27/99,403,R232,S/B 33rd St,
04001014,33rd Street,IRT,8/5/04,1/27/99,403,R232A,S/B 32nd St,
04001015,59th Street - Columbus Circle,IRT,8/5/04,5/16/93,,N049,Mez Park Drive North,
04001015,59th Street - Columbus Circle,IRT,8/5/04,5/16/93,,R158,S/B 60th St,
04001015,59th Street - Columbus Circle,IRT,8/5/04,5/16/93,,X,N/B Central Park South,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,3/3/94,,R144,Mez 41st St / Bway,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,3/3/94,,R145,Mez 41st St / 7th Ave E,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,3/3/94,,R146,Mez 41st St / 7th Ave W,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,8/28/95,11,R148,Mez 42nd St SE,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,8/28/95,11,R144X,Mez 41st St / Bway,
04001016,Times Square - 42nd Street,BMT;IRT,8/5/04,8/28/95,11,A021,Mez 40th St,
04001017,72nd Street,IRT,8/5/04,10/17/02,313,R161,Mez 72nd St S,
04001017,72nd Street,IRT,8/5/04,10/17/02,313,,Mez 72nd St N,
04001018,79th Street,IRT,8/5/04,5/7/98,312,R162,S/B 79th St,
04001018,79th Street,IRT,8/5/04,5/7/98,312,R163,N/B 79th St,
04001019,110th Street - Cathedral Parkway,IRT,8/5/04,8/26/98,308,R171,N/B 110th St,
04001019,110th Street - Cathedral Parkway,IRT,8/5/04,8/26/98,308,R172,S/B 110th St,
04001020,116th Street-Columbia University,IRT,8/5/04,8/26/98,307,R173,Mez 116th St,
04001020,116th Street-Columbia University,IRT,8/5/04,8/26/98,307,X,N/B 115th St,
04001021,Dyckman Street,IRT,8/5/04,8/26/98,299,R186,Mez St. Nicholas Avenue,
04001022,Borough Hall,IRT,8/5/04,10/21/98,415,R602,Mez Court St,
04001022,Borough Hall,IRT,8/5/04,10/21/98,415,R604,Mez Municipal Building,
04001023,Atlantic Avenue,BMT;IRT,8/5/04,1/7/99,338,R610,N/B Hanson Place,
04001023,Atlantic Avenue,BMT;IRT,8/5/04,1/7/99,338,B002,Mez LIRR Sub-Passageway,
04001023,Atlantic Avenue,BMT;IRT,8/5/04,1/7/99,338,X,N/B Atlantic Ave,
04001023,Atlantic Avenue,BMT;IRT,8/5/04,1/7/99,338,Closed,S/B 4th Ave,
04001023,Atlantic Avenue,BMT;IRT,8/5/04,1/7/99,338,Closed,S/B Atlantic Ave,
04001024,Beverley Road,BRT pre-Dual System,8/5/04,6/20/96,45,B017,Mez Beverley Road,
04001025,Jackson Avenue,IRT,8/5/04,11/20/98,433,R312,S/B Jackson Ave,
04001025,Jackson Avenue,IRT,8/5/04,11/20/98,433,X,N/B Jackson Ave,
04001026,Prospect Avenue,IRT,8/5/04,11/20/98,432,R314,S/B Prospect Ave,
04001026,Prospect Avenue,IRT,8/5/04,11/20/98,432,R315,N/B Prospect Ave,
04001027,Simpson Street,IRT,8/5/04,11/20/98,430,R317,N/B Simpson St,
04001027,Simpson Street,IRT,8/5/04,11/20/98,430,R318,S/B Simpson St,
04001157,Main Street,Dual System IRT,8/5/04,6/16/99,447,R533,Mez Main St,
04001157,Main Street,Dual System IRT,8/5/04,6/16/99,447,R534,Mez Main St E,
05000223,West 4th Street,IND,2/15/05,1/13/97,167,,,
05000224,181st Street,IRT,2/15/05,8/12/98,301,R183,Mez 181st St,
05000225,190th Street,IND,2/15/05,10/14/96,145,N006A,Mez Bennett Ave,
05000225,190th Street,IND,2/15/05,10/14/96,145,Closed,Mez Fort Tryon Park,
05000226,242nd Street - Van Cortland Park,IRT,2/15/05,9/16/98,293,R197,Mez 242nd St,
05000227,Westchester Square,Dual System IRT,2/15/05,12/11/98,363,,,
05000228,Pelham Parkway,Dual System IRT,2/15/05,4/17/97,424,R327,Mez Pelham Pky North,
05000228,Pelham Parkway,Dual System IRT,2/15/05,4/17/97,424,R328,Mez Pelham Pky South,
05000229,45th Road - Court House Square,Dual System IRT,2/15/05,12/18/98,462,R508,Mez 45th Road,
05000230,28th Street,IRT,2/15/05,10/4/98,404,R228,S/B 28th St,
05000230,28th Street,IRT,2/15/05,10/4/98,404,R229,N/B 28th St,
05000230,28th Street,IRT,2/15/05,10/4/98,404,R230,S/B 27th St,
05000231,145th Street,IRT,2/15/05,1/25/99,437,R308,S/B 145th St,
05000231,145th Street,IRT,2/15/05,1/25/99,437,Exit-only,N/B 145th St,
05000232,168th Street,IRT,2/15/05,8/11/98,302,R182,Mez 168th St / Bway,
05000232,168th Street,IRT,2/15/05,8/11/98,302,N013,Mez 168th St / St. Nicholas,
05000233,181st Street,IND,2/15/05,10/15/96,146,N007A,Mez 184th St,
05000233,181st Street,IND,2/15/05,10/15/96,146,N009,Mez 181st St,
05000234,Chambers Street,Dual System IRT,2/15/05,4/28/98,327,R116,Mez Chambers St,
05000235,West 28th Street,Dual System IRT,2/15/05,5/7/98,319,R134,S/B 28th St,
05000235,West 28th Street,Dual System IRT,2/15/05,5/7/98,319,R133,N/B 28th St,
05000235,West 28th Street,Dual System IRT,2/15/05,5/7/98,319,Exit-only,S/B 27th St,
05000235,West 28th Street,Dual System IRT,2/15/05,5/7/98,319,Exit-only,N/B 27th St,
05000236,86th Street,Dual System IRT,2/15/05,11/9/98,297,R248,N/B 86th St,
05000236,86th Street,Dual System IRT,2/15/05,11/9/98,297,,S/B 86th St,
05000669,Chambers Street,Dual System BMT,5/27/05,3/13/96,105,A069,Mez Chambers St,
05000669,Chambers Street,Dual System BMT,5/27/05,3/13/96,105,A071,Mez Duane St,
05000670,Bay Parkway,Dual System BRT,5/27/05,2/27/96,68,E014,Mez Bay Parkway,
05000671,14th Street - Union Square,IRT;Dual System BMT,5/27/05,9/30/96,15,A033,Mez 16th St,
05000671,14th Street - Union Square,IRT;Dual System BMT,5/27/05,9/30/96,15,A034,Mez 14th St / Bway N,
05000671,14th Street - Union Square,IRT;Dual System BMT,5/27/05,9/30/96,15,A037,Mez 14th St / Bway S,
05000671,14th Street - Union Square,IRT;Dual System BMT,5/27/05,9/30/96,15,X,Mez 14th St / 4th NW,A036
05000671,14th Street - Union Square,IRT;Dual System BMT,5/27/05,9/30/96,15,Closed,Mez 14th St / 4th SW,Assigned to A035 when opened
05000672,Elmhurst Avenue,IND,5/27/05,10/15/97,266,N325A,Mez Elmhurst-Britton Avs,
05000673,4th Avenue,IND,5/27/05,6/20/97,239,N537,Mez 4th Ave W,
05000673,4th Avenue,IND,5/27/05,6/20/97,239,Closed,Mez 4th Ave E,
05000674,Brooklyn Bridge - City Hall,IRT,5/27/05,11/2/98,411,R210,Mez Brooklyn Bridge,
05000674,Brooklyn Bridge - City Hall,IRT,5/27/05,11/2/98,411,R210A,Mez Reade St,
05000675,Avenue U,Dual System BRT,5/27/05,4/9/96,78,D015,Mez Ave U,
05000675,Avenue U,Dual System BRT,5/27/05,4/9/96,78,X,Mez Ave T,
05000676,9th Avenue,Dual System BRT,5/27/05,2/12/96,59,E001,Mez 9th Ave,
05000677,Morris Park,,5/27/05,12/4/98,446,R726,Mez Paulding Ave,
05000678,New Utrecht Avenue,Dual System BRT,5/27/05,2/29/96,73,D006,Mez 15th Avenue,
05000678,New Utrecht Avenue,Dual System BRT,5/27/05,2/29/96,73,D005,Mez New Utrecht Ave,
05000679,Woodlawn,Dual System IRT,5/27/05,12/4/98,378,R294,Mez,
05000681,Wilson Avenue,Dual System BMT,5/27/05,6/5/96,130,H032,Mez Wilson Ave,
05000748,15th Street - Prospect Park,IND,6/17/05,7/10/97,241,N541,Mez Bartel Pritchard Square,
05000748,15th Street - Prospect Park,IND,6/17/05,7/10/97,241,N542,Mez Windsor Pl,
05000749,Ocean Parkway,Dual System BRT,6/17/05,6/20/96,56,B032,Mez Ocean Pkwy E,
05000749,Ocean Parkway,Dual System BRT,6/17/05,6/20/96,56,B034,Mez Ocean Pkwy W,