C/A,UNIT,STATION,DIVISION,LINENAME,ENTRIES_10_12,EXITS_10_12,ENTRIES_13_16,EXITS_13_16,ENTRIES_17_20,EXITS_17_20,ENTRIES_21_22,EXITS_21_22,OPENED,CLOSED,PRIOR_REMOTES,PRIOR_STATIONS
N003,R185,DYCKMAN ST,IND,A,6107597,158097,8724717,223363,7450429,232244,1670849,122712,,,,DYCKMAN-200 ST
N006A,R280,190 ST,IND,A,3850257,1942700,5941474,2689621,5054182,1981716,886304,358576,,,,
N007A,R174,181 ST,IND,A,4791349,3799426,7573722,5788778,5987144,4879512,1602464,2286891,,,,
N009,R174,181 ST,IND,A,3957143,3822414,6366001,5472370,5684350,5086803,1203910,1591447,,,,
N010,R126,175 ST,IND,A,8669199,5264850,13104668,7745747,10835855,6793973,2344480,2417229,,,,
N011,R126,175 ST,IND,A,2166830,1387712,3582385,1522347,3115466,1021455,615485,323567,,,,
N012,R035,168 ST,IND,AC1,5428835,931431,9280204,2162652,7516545,1260809,1567925,494284,,,,168 ST-BROADWAY
N013,R035,168 ST,IND,AC1,4650543,3477921,7178901,5172707,7164346,3895975,1457915,1710840,,,,168 ST-BROADWAY
N016A,R296,163 ST-AMSTERDM,IND,C,3355994,2059255,5630693,2276046,4043309,2681799,1080287,1504397,,,,
N017,R331,155 ST,IND,C,2153867,1938597,3444506,2952689,3201864,2654048,686933,853151,,,,
N019,R101,145 ST,IND,ABCD,5245974,5207318,9005957,8597881,7716559,7661337,1635812,2585810,,,,
N020,R101,145 ST,IND,ABCD,13692913,13558651,22366147,21698306,18329251,18349115,3970093,5975938,,,,
N022,R332,135 ST,IND,BC,1216564,132188,2080530,165193,1882633,90300,389893,36334,,,,135TH STREET
N023,R332,135 ST,IND,BC,1167032,2252659,1884147,3451532,1514605,2977314,351180,959221,,,,135TH STREET
N024,R332,135 ST,IND,BC,1973903,1059494,2998112,1635238,2512249,1482307,503390,489436,,,,135TH STREET
N025,R102,125 ST,IND,ACBD,4539516,3396385,8698837,5899440,7710052,5220183,1658401,1943007,,,,
N026,R102,125 ST,IND,ACBD,18036857,16585282,29169665,25805709,24173629,22634966,5258677,7833770,,,,
N029,R333,116 ST,IND,BC,1850588,3110369,3082018,4083345,2530485,3043999,602472,1066965,,,,
N030,R333,116 ST,IND,BC,3558714,2373289,5898552,3267987,5270731,2713171,1069200,1014482,,,,
N034,R334,CATHEDRAL PKWY,IND,BC,2431679,1013723,4047027,1534131,3148868,1248095,759261,534981,,,,"110 ST-CATHEDRL,CATHEDRL-110 ST"
N035,R334,CATHEDRAL PKWY,IND,BC,3547983,3749047,5398125,4445940,3799117,2592773,989940,947164,,,,"110 ST-CATHEDRL,CATHEDRL-110 ST"
N037,R314,103 ST,IND,BC,4075614,3779729,6136749,4866056,5232266,3655865,1102039,1320316,,,,
N039,R251,96 ST,IND,BC,4190026,2413484,7235717,4090194,5674793,3535702,1262064,1135063,,,,
N040,R251,96 ST,IND,BC,3443589,4272596,5074371,5677536,4364006,4604587,961298,1703000,,,,
N043,R186,86 ST,IND,BC,8860444,5195385,13936184,6738923,9381458,8641875,2340272,3327513,,,,
N044,R187,81 ST-MUSEUM,IND,BC,7888044,6504146,12408107,10335129,10206604,8674263,2150558,2781792,,,,
N045,R187,81 ST-MUSEUM,IND,BC,3324574,2940743,5628969,4569570,4664056,3893000,915315,1251030,,,,
N046,R281,72 ST,IND,BC,7670090,6576489,11894928,10155879,8014090,7128430,2021101,2828357,,,,
N049,R084,59 ST COLUMBUS,IND,ABCD1,16508817,22856111,25997303,35467784,20740406,29117501,4398728,8805825,,,,59 ST-COLUMBUS
N051,R084,59 ST COLUMBUS,IND,ABCD1,30125956,14745024,47606365,22698685,41386741,22020977,7251292,6414236,,,,59 ST-COLUMBUS
N056,R188,50 ST,IND,CE,6150134,7779852,11058510,11927910,8935074,9028468,1811412,2799444,,,,
N057,R188,50 ST,IND,CE,9101211,4274489,15933810,6133369,13537321,4939539,2307151,1860353,,,,
N060,R010,42 ST-PORT AUTH,IND,ACENGRS1237W,9645164,9739856,17594685,16776784,14878406,14527067,2542838,4105395,,,,"42 ST,42 ST-PA BUS TE"
N062,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,12851448,11961126,19701344,19585988,16062183,18144044,2215265,5430627,,,,"42 STREET,42 ST-PA BUS TE"
N062A,R010,42 ST-PORT AUTH,IND,ACENQRS1237W,17704324,14040748,30753013,21907737,23658072,17333264,4317891,5409885,,,,"42 ST,42 ST-PA BUS TE"
N063,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,11865765,8201928,19511378,11039840,17235345,7759654,3402340,2857855,,,,"42 STREET,42 ST-PA BUS TE"
N063A,R011,42 ST-PORT AUTH,IND,ACENQRS1237W,28177515,19635172,45044598,27621404,38763745,24566237,8392775,9972709,,,,"42 STREET,42 ST-PA BUS TE"
N067,R012,34 ST-PENN STA,IND,ACE,17746232,19149010,28376587,30399261,24552355,24674421,5662286,7448499,,,,
N068,R012,34 ST-PENN STA,IND,ACE,5601084,3144627,9564176,5287860,8131199,5674050,1308032,1257108,,,,
N069,R013,34 ST-PENN STA,IND,ACE,4407267,3415302,7369863,5555235,6252647,5213075,1149220,1346354,,,,
N070,R012,34 ST-PENN STA,IND,ACE,8171556,6663268,11310373,9744098,8007822,8302736,1585790,2790955,,,,
N071,R013,34 ST-PENN STA,IND,ACE,5331935,8006481,8097686,11996301,7288538,10650480,1383759,3096990,,,,
N072,R012,34 ST-PENN STA,IND,ACE,20252445,8068636,32376467,12547304,24295554,10819918,3088610,3358538,,,,
N073,R013,34 ST-PENN STA,IND,ACE,6161877,13694280,8068853,19407720,7735447,15455954,1310739,4016615,,,,
N075,R111,23 ST,IND,CE,3211983,1046609,5889390,1383903,5091904,1053355,796980,361230,,,,
N076,R111,23 ST,IND,CE,10939311,6200460,17548541,9655371,13591931,7395905,2469286,2238572,,,,
N077,R111,23 ST,IND,CE,4766201,6728851,7644206,10520493,5996153,7602690,1028156,2120892,,,,
N078,R175,14 ST,IND,ACEL,14005896,14007432,24533902,22664078,22031596,21735135,3859624,7274547,,,,
N080,R138,W 4 ST-WASH SQ,IND,ABCDEFM,11773905,11556744,19478889,18033569,16288471,13395564,2935622,4900155,,,,
N083,R138,W 4 ST-WASH SQ,IND,ABCDEFM,22414295,22990703,36510326,36490791,29948759,29870547,5001529,9508386,,,,
N086,R282,SPRING ST,IND,CE,7291275,2059962,11288970,2572136,9241746,1995364,1638751,774803,,,,
N087,R282,SPRING ST,IND,CE,2442827,713898,4165810,946105,4137461,822575,767241,261847,,,,
N089,R139,CANAL ST,IND,ACE,10072399,5835303,15786596,10617846,13407888,11813076,2226918,3608692,,,,
N090,R139,CANAL ST,IND,ACE,5106141,5302474,8059679,8290231,7208132,6842507,1108312,1855375,,,,
N091,R029,CHAMBERS ST,IND,ACE23,9120440,6313739,15092943,9685257,13425255,8013483,2299391,2101509,,,,
N092,R029,CHAMBERS ST,IND,ACE23,19783213,8839484,28912613,13202393,15283363,9990731,2062263,2369567,,,,
N094,R029,WORLD TRADE CTR,IND,ACE23,10055188,5627860,16990922,8927702,17927498,13469171,2904948,3832584,,,,
N095,R014,FULTON ST,IND,ACJZ2345,10607336,6849268,30601732,13403752,22840868,9215597,3517774,2530431,,,,BROADWAY-NASSAU
N095A,R014,FULTON ST,IND,2345ACJZ,,,3833474,1370624,25265989,11100824,4852646,3265638,9/19/14 16:00,,,
N098,R028,FULTON ST,IND,2345ACJZ,1099172,1038558,15864003,14871286,11969880,12571375,2196380,3635145,9/15/12 3:00,,,
N100,R252,HIGH ST,IND,AC,3876060,4343871,7199845,7853347,7721226,8290593,1685149,2687815,,,,
N101,R252,HIGH ST,IND,AC,1910255,2235627,3207340,3941068,3427901,4483119,555104,1127117,,,,
N102,R127,JAY ST-METROTEC,IND,ACF,11106692,6884219,19416339,12758979,14896035,10954959,2449702,2751059,,,,JAY ST-BOROUGH
N103,R127,JAY ST-METROTEC,IND,ACF,16784413,11082983,28367289,15111786,24332344,12844076,4408787,5307034,,,,JAY ST-BOROUGH
N108,R217,HOYT-SCHER,IND,ACG,8281861,8209045,12410561,11108069,11985107,10510138,2551814,3951330,,,,HOYT/SCHERMER
N110,R283,LAFAYETTE AV,IND,C,4303775,2564039,6618123,3289304,5563589,2486537,1141296,913328,,,,LAFAYETTE AVE
N111,R284,CLINTON-WASH AV,IND,C,4118760,1166181,6694106,2154899,5705882,2306018,936918,848762,,,,
N112A,R284,CLINTON-WASH AV,IND,C,833749,2644382,1760162,4052023,1625100,3565860,362642,1089368,,,,
N113,R297,FRANKLIN AV,IND,ACS,2409001,1095398,4333186,1664998,3764838,1460316,504915,519435,,,,FRANKLIN AVE
N114,R297,FRANKLIN AV,IND,ACS,2833036,4534412,4153585,6880980,3285415,5863654,807903,1865661,,,,FRANKLIN AVE
N116,R198,NOSTRAND AV,IND,AC,9822928,4561995,16315866,6283430,14275931,5359282,3030945,2983786,,,,NOSTRAND AVE
N117,R198,NOSTRAND AV,IND,AC,4284424,6145242,6576778,10124184,5300815,9372506,984933,3168534,,,,NOSTRAND AVE
N118,R199,KINGSTON-THROOP,IND,C,1129781,3053760,1768902,4869615,1372443,4786706,287069,1650112,,,,
N119,R199,KINGSTON-THROOP,IND,C,3444846,1294722,6103257,1681941,5788640,1459956,1148368,633880,,,,
N120,R153,UTICA AV,IND,AC,7931136,6085176,12987136,9200321,12218257,9378769,2518934,3143937,,,,UTICA AVE
N120A,R153,UTICA AV,IND,AC,4331434,3707328,7187225,6022051,5891606,5216032,1049844,1614212,,,,UTICA AVE
N121B,R438,RALPH AV,IND,C,4353511,2928723,7345191,3692569,6512507,3417794,1363946,1233985,,,,RALPH AVE
N122,R439,ROCKAWAY AV,IND,C,2892920,2649494,4596808,4070740,3890674,3768198,845908,1229944,,,,ROCKAWAY AVE
N123B,R439,ROCKAWAY AV,IND,C,1373780,106919,2290487,154711,2391933,137504,495339,42692,,,,ROCKAWAY AVE
N124,R103,BROADWAY JCT,IND,ACJLZ,8103375,8971067,12912138,12151009,10451804,9721365,2364882,3078789,,,,BROADWAY-ENY
N125,R440,LIBERTY AV,IND,C,2242854,1790561,3471823,2010389,3026639,1553033,717080,580972,,,,LIBERTY AVE
N126,R441,VAN SICLEN AVE,IND,C,2487718,2437676,4026335,3716176,3443098,3364732,767280,1105850,,,,VAN SICLEN AV
N127,R442,SHEPHERD AV,IND,C,2585464,2141162,4214851,2533336,3567708,1971427,823746,767871,,,,SHEPHERD AVE
N128,R200,EUCLID AV,IND,AC,8582390,3367945,13976523,4131210,11814996,3899250,2713861,1496097,,,,EUCLID AVE
N129,R382,GRANT AV,IND,A,5388790,4972388,8439984,7086987,6576823,5684807,1478380,1938642,,,,GRANT AVE
N130,R383,80 ST,IND,A,1572290,875979,2249157,1131315,2046571,1052161,483110,313530,,,,HUDSON-80 ST
N131,R383,80 ST,IND,A,1974255,1827314,3247175,2471088,2592596,1561013,637339,523446,,,,HUDSON-80 ST
N133,R384,88 ST,IND,A,2213504,2147171,3450146,1892601,3053353,1249834,753058,426375,,,,BOYD-88 ST
N134,R385,ROCKAWAY BLVD,IND,A,3523104,2903456,5286843,2306005,4595271,1429476,1201641,429944,,,,
N135,R385,ROCKAWAY BLVD,IND,A,3151149,1230245,4296113,1709695,3749787,1202108,935368,346664,,,,
N137,R354,104 ST,IND,A,1407694,1272069,2095904,1107685,1935819,698662,503409,263388,,,,OXFORD-104 ST
N138,R355,111 ST,IND,A,805761,328653,1069541,428434,984729,375426,245560,108180,,,,GREENWOOD-111
N139,R355,111 ST,IND,A,1384354,1255184,1914519,1155866,1693815,591287,436165,189252,,,,GREENWOOD-111
N141,R356,OZONE PK LEFFRT,IND,A,6308763,5263739,9372053,8221792,8199544,6756071,2084439,2266843,,,,LEFFERTS BLVD
N181,R357,AQUEDUCT N.COND,IND,A,1596434,709147,1849028,2888961,1164591,1988087,220772,637321,,9/26/22 13:00,,AQUEDUCT-N CNDT
N181A,R464,AQUEDUCT RACETR,IND,A,68769,7924,2218534,252364,2189045,218545,383258,71165,,,,"AQUEDUCT,AQUEDUCT TRACK"
N182,R414,HOWARD BCH JFK,IND,A,1883236,728197,3645151,1026860,3091331,942420,660402,180086,,,,HOWARD BCH-JFK
N183,R415,BROAD CHANNEL,IND,AS,245356,77659,323027,106061,319251,93298,76142,42953,,9/28/22 13:00,,
N184,R416,BEACH 90 ST,IND,AS,970775,999441,1193185,1054477,1312141,1075509,235558,352499,,,,HOLLAND-B 90 ST
N185,R417,BEACH 98 ST,IND,AS,593037,696645,738226,772424,585067,593424,127269,212874,,,,PLAYLAND-B 98
N186,R418,BEACH 105 ST,IND,AS,224908,301428,367248,372511,330432,369953,70925,130886,,,,SEASIDE-B 105
N187,R419,ROCKAWAY PARK B,IND,AS,781836,966815,917368,1094809,866779,1028581,224832,365759,,,,ROCKAWAY PK 116
N191,R335,BEACH 67 ST,IND,A,1590982,1864146,2722964,2900767,2641644,2060704,633682,720220,,,,GASTON AV
N192,R336,BEACH 60 ST,IND,A,1763810,1811663,2822554,2945998,2385562,1882962,558556,613965,,,,STRAITON AV
N193,R337,BEACH 44 ST,IND,A,504106,619922,718031,796455,804288,920324,205699,344309,,,,FRANK AV
N194,R338,BEACH 36 ST,IND,A,688595,683233,1046071,1117868,1056485,1176666,277259,421467,,,,EDGMERE
N195,R358,BEACH 25 ST,IND,A,1223492,1496075,2002822,2224962,1978882,2258573,480656,772742,,,,WAVECREST-B 25
N196,R285,FAR ROCKAWAY,IND,A,3719519,4917257,5512290,5994781,5048648,5459944,1257444,1919034,,,,
N202,R315,155 ST,IND,BD,3427119,2212310,5257146,2745637,4100032,2284341,1007217,892800,,,,
N203,R195,161/YANKEE STAD,IND,BD4,9748514,5139238,15122934,7518473,12700127,6899548,2976136,2467960,,,,161 ST-YANKEE
N204,R195,161/YANKEE STAD,IND,BD4,,,0,0,,,,,,,,161 ST-YANKEE
N205,R195,161/YANKEE STAD,IND,BD4,4186781,3512021,6487554,5250975,5453340,4624353,1053602,1497281,,,,161 ST-YANKEE
N206,R104,167 ST,IND,BD,1691766,536190,2890841,771249,2112672,653743,553923,335365,,,,
N207,R104,167 ST,IND,BD,6336728,3698205,10214000,5101642,8633726,3809907,1859579,1360984,,,,
N208,R443,170 ST,IND,BD,2628037,1011068,4666378,1690356,4126213,1816099,880458,605617,,,,
N209,R443,170 ST,IND,BD,2773528,2087385,4476221,2887122,3821604,2582750,891634,941298,,,,
N210,R253,174-175 STS,IND,BD,2504758,1453113,4070579,1237026,2866464,970928,760653,401884,,,,174-175 ST
N212,R253,174-175 STS,IND,BD,1543772,1042634,2771672,1351617,2259132,1508518,597389,783478,,,,174-175 ST
N213,R154,TREMONT AV,IND,BD,7528343,6219420,12530881,8438994,11060643,7029689,2394630,2788338,,,,TREMONT AVE
N215,R237,182-183 STS,IND,BD,4017810,1662679,6504793,2354356,5435978,2129113,1314547,878299,,,,182-183 ST
N217,R112,FORDHAM RD,IND,BD,6438529,4900605,10469468,7205904,9024153,6737526,2180458,2512514,,,,FORDHAM ROAD
N218,R112,FORDHAM RD,IND,BD,3597665,429628,5385129,396507,4107481,373369,759481,123280,,,,FORDHAM ROAD
N220,R155,KINGSBRIDGE RD,IND,BD,2642849,2215885,8047932,9467442,5104356,4088996,1011718,1321894,,,,
N221,R155,KINGSBRIDGE RD,IND,BD,3550277,2818457,5227588,3611706,4204231,3037161,868874,1096056,,,,
N222,R156,BEDFORD PK BLVD,IND,BD,3800648,3278322,6243839,5282936,5216202,4508224,1264404,1494930,,,,BEDFORD PARK BL
N223,R156,BEDFORD PK BLVD,IND,BD,1606960,278738,2750492,432443,2908187,358948,627787,119531,,,,BEDFORD PARK BL
N224,R157,NORWOOD 205 ST,IND,D,3719969,3192728,6045779,4483660,5173034,3608787,1195444,1306528,,,,"205 ST,NORWOOD-205 ST"
N225,R157,NORWOOD 205 ST,IND,D,3063760,2561234,5028012,4013251,4298627,3428970,1058803,1236633,,,,"205 ST,NORWOOD-205 ST"
N300,R113,7 AV,IND,BDE,4735758,5697205,8419969,10140536,7625632,9081718,1283938,2164321,,,,7 AVE-53 ST
N301,R113,7 AV,IND,BDE,7076079,7729771,12131858,12735486,10155847,11277915,1721573,3269175,,,,7 AVE-53 ST
N303,R015,5 AV/53 ST,IND,EM,10021265,11473592,17876078,19345470,15231588,16230451,2381983,4213381,,,,"FIFTH AVE,5 AVE-53 ST"
N304,R015,5 AV/53 ST,IND,EM,7232642,5797064,11943087,12174900,9765847,11193652,1243641,2503761,,,,"FIFTH AVE,5 AVE-53 ST"
N305,R017,LEXINGTON AV/53,IND,EM6,10427691,10723157,15817855,16681346,10178023,12044757,1705648,3045846,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N305A,R016,LEXINGTON AV/53,IND,EM6,6267302,7342765,9388046,11229135,7234471,8270957,1040618,1882026,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N306,R017,LEXINGTON AV/53,IND,EM6,15421078,15066656,28477566,26295927,24247703,22309558,3873646,5436162,,,,"LEXINGTON-3RD,LEXINGTON-53 ST"
N307,R359,COURT SQ-23 ST,IND,EMG,4767982,2296772,9551140,3464491,7157018,2422316,1588070,1068386,,,,23 ST-ELY AV
N309A,R140,QUEENS PLAZA,IND,EMR,4877758,4912231,8102036,8378852,9207967,8920995,1792849,3131965,,,,
N310,R140,QUEENS PLAZA,IND,EMR,2323548,1944005,4263303,3283386,4160318,3187943,882375,1170180,,,,
N311,R339,36 ST,IND,MR,1159636,835501,1766164,1440736,1439082,1495620,309355,439494,,,,
N312,R339,36 ST,IND,MR,2211680,1927511,3627859,2617514,3509535,2021898,593419,630065,,,,
N314,R238,STEINWAY ST,IND,MR,4683629,2381584,7428083,4380126,6267820,4200680,1246139,1313376,,,,
N315,R238,STEINWAY ST,IND,MR,8334786,7330544,11745193,9877953,10192768,8225967,2017926,2760379,,,,
N316,R267,46 ST,IND,MR,3352723,1036790,5104928,1569861,4069227,1259569,751879,472932,,,,
N316A,R267,46 ST,IND,MR,3788437,3704338,5499821,4843030,4131530,3566505,951824,1305719,,,,
N317,R267,46 ST,IND,MR,912020,2433237,1373351,3734358,1076442,3072782,279994,898202,,,,
N318,R298,NORTHERN BLVD,IND,MR,4250512,1936676,6607848,2785715,5236158,2250356,1231825,865374,,,,
N319,R298,NORTHERN BLVD,IND,MR,1827342,2979701,2643760,4702049,2097682,3939820,560806,1266797,,,,
N322,R340,65 ST,IND,MR,3009673,2598210,4706532,3629574,3874538,2845222,933960,1006085,,,,
N323,R018,JKSN HT-ROOSVLT,IND,EFMR7,11268059,7750114,15066656,12432156,13181276,11183231,3304870,3914124,,,,ROOSEVELT AVE
N324,R018,JKSN HT-ROOSVLT,IND,EFMR7,29848590,24587074,49297664,37840562,42648021,31929956,11600574,11666597,,,,ROOSEVELT AVE
N325A,R218,ELMHURST AV,IND,MR,11732704,3820367,17447288,4745103,14304579,3770578,3448726,1467300,,,,ELMHURST AVE
N327,R254,GRAND-NEWTOWN,IND,MR,15474780,5637011,23930645,10662606,20031811,11695462,4886296,4267021,,,,GRAND AV-NEWTON
N329,R201,WOODHAVEN BLVD,IND,MR,15664032,14113564,22045854,17128214,16721853,12906230,4025839,4447350,,,,
N329A,R201,WOODHAVEN BLVD,IND,MR,4099844,1115400,6739917,1129402,6097533,1004870,1391192,1383371,,,,
N330,R202,63 DR-REGO PARK,IND,MR,639947,349363,16136264,8398829,12684999,5801240,2959761,1957846,11/3/12 0:00,,,
N330B,R202,63 DR-REGO PARK,IND,MR,9599186,5641237,,,,,,,,11/2/12 20:00,,
N330C,R202,63 DR-REGO PARK,IND,MR,3071930,684146,4914681,1065445,4084503,827015,1433680,262734,,,,
N331,R219,67 AV,IND,MR,5050991,4642832,7589601,4393372,5950655,3244359,1315294,964221,,,,67 AVE
N332,R219,67 AV,IND,MR,2515060,1010214,3866255,1542810,3180052,1295603,711734,374450,,,,67 AVE
N333,R141,FOREST HILLS 71,IND,EFMR,2878536,2008409,4880529,3227052,3387891,2474790,680190,862390,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N333A,R141,FOREST HILLS 71,IND,EFMR,11712370,3763731,17402110,3437648,13073670,4173758,2867046,1322981,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N333B,R141,FOREST HILLS 71,IND,EFMR,8420853,6562776,12915327,9385367,12470216,8609589,2992295,2873483,,,,"71 ST-CONTINENT,FOREST HILLS-71"
N334B,R341,75 AV,IND,EF,3135006,351294,4588735,528393,3547787,1017726,780061,422878,,,,75 AVE
N335,R158,KEW GARDENS,IND,EF,8903614,9505002,13474908,14410127,10324176,11017781,2169534,2909514,,,,UNION TPK-KEW G
N336,R158,KEW GARDENS,IND,EF,13836324,8160257,20668128,16722748,16568883,16073921,4077679,5119576,,,,UNION TPK-KEW G
N337,R255,BRIARWOOD,IND,EF,4577389,2224777,6005757,2949554,5194081,2734578,1323970,915127,,,,VAN WYCK BLVD
N338,R128,SUTPHIN BLVD,IND,F,1184983,575229,1932284,804869,1538681,620436,391911,207219,,,,
N338B,R128,SUTPHIN BLVD,IND,F,2901482,1875305,4108621,2768986,3286834,2685081,837411,1044148,,,,
N339,R114,PARSONS BLVD,IND,F,504917,130023,986475,286142,1014118,273425,273102,84749,,,,
N339A,R114,PARSONS BLVD,IND,F,4804552,5640022,7388465,7915934,6345640,6835494,1744755,2378838,,,,
N340,R115,169 ST,IND,F,2595915,2638529,4048140,4464657,3044012,3827028,725642,1191492,,,,
N340A,R115,169 ST,IND,F,4948020,4197851,7426344,4878465,5789769,4148897,1437895,1503002,,,,
N342,R019,JAMAICA 179 ST,IND,F,7583436,3325331,10774600,4853463,8196511,3993872,2135142,1463917,,,,"179 STREET,JAMAICA-179 ST"
N343,R019,JAMAICA 179 ST,IND,F,11290912,5892040,17342871,7726409,14437950,5915268,3487767,1767469,,,,"179 STREET,JAMAICA-179 ST"
N400A,R359,COURT SQ,IND,EMG,7519128,4470863,11283943,7588606,11672584,10640415,1524015,2835058,,,,
N401,R360,21 ST,IND,G,1078291,1207034,1994898,2204147,1960648,2120322,441624,797991,,,,VAN ALSTON-21ST
N405,R239,GREENPOINT AV,IND,G,6616544,4274644,10905581,7546817,10315188,7922974,2277007,2866627,,,,GREENPOINT AVE
N408A,R256,NASSAU AV,IND,G,6416735,4359744,11257452,6228105,10835681,7960066,2097808,3939744,,,,NASSAU ST
N409,R268,METROPOLITAN AV,IND,GL,7317183,4455102,12556432,7713277,13860265,9650895,2139592,2902449,,,,
N412,R299,BROADWAY,IND,G,2710235,2388849,4964882,4075950,5127997,4201022,1309837,1594516,,,,
N414,R316,FLUSHING AV,IND,G,780311,907423,1525451,1832320,1416790,1671547,396295,763812,,,,FLUSHING AVE
N414A,R316,FLUSHING AV,IND,G,904809,766560,1797886,1458510,1554135,1476429,491728,581135,,,,FLUSHING AVE
N415,R286,MYRTLE-WILLOUGH,IND,G,2000504,1840348,3586896,3481044,3299843,3080483,750905,1214742,,,,
N416,R286,MYRTLE-WILLOUGH,IND,G,1721132,301966,3547570,398040,2957612,326381,662535,113312,,,,
N417,R269,BEDFORD-NOSTRAN,IND,G,3355592,3020082,6073505,5033113,5890840,5128208,1198017,1976941,,,,"BEDFORD/NOSTREN,BEDFORD/NOSTRAN"
N418,R269,BEDFORD-NOSTRAN,IND,G,2243709,1072865,4238795,1277449,3675225,543640,677433,222970,,,,"BEDFORD/NOSTREN,BEDFORD/NOSTRAN"
N419,R287,CLASSON AV,IND,G,3575974,3393031,6176506,5839151,5735425,5626208,1228180,2108991,,,,CLASSON AVE
N420B,R317,CLINTON-WASH AV,IND,G,4389102,827081,6766528,1057597,5359959,1528901,1095977,1072606,,,,
N422,R318,FULTON ST,IND,G,3302131,3292624,6242265,5704468,6080458,5095923,1472014,2115809,,,,
N500,R020,47-50 STS ROCK,IND,BDFM,24008111,21657113,37399869,33992531,29118883,26922184,4167337,6048247,,,,47-50 ST-ROCK
